Ward code,Year ending Dec 2019
E05011522,110000
E05011523,85000
E05011524,184950
E05001643,120000
E05001644,127000
E05001645,70975
E05001646,88500
E05001647,79500
E05001648,104000
E05001649,105250
E05001650,88000
E05001651,124950
E05001652,119000
E05001653,92500
E05001654,122500
E05001655,145000
E05001656,108125
E05001657,142500
E05001658,165000
E05001659,90500
E05001660,92000
E05001661,92500
E05001662,135000
E05001663,133125
E05008610,530000
E05008611,217995
E05008612,322500
E05008613,280000
E05008614,284995
E05008615,225000
E05008616,279495
E05008617,532995
E05008618,198975
E05008619,230000
E05008620,84000
E05008621,135000
E05008622,123000
E05008624,121000
E05008623,103000
E05008625,126000
E05008626,344995
E05008627,278995
E05008628,450000
E05008629,244000
E05008630,234950
E05008631,453750
E05008632,360000
E05008633,186000
E05008634,147500
E05008635,240000
E05008636,159975
E05008637,211500
E05008638,251250
E05008639,220000
E05008640,182500
E05008641,380000
E05008642,180000
E05008643,242500
E05008644,215000
E05008645,328000
E05008646,317000
E05008647,690000
E05008648,245000
E05008649,197000
E05008650,185000
E05008651,236995
E05008652,205995
E05008653,295000
E05008654,274975
E05008655,376995
E05008656,538500
E05008657,420000
E05008658,410000
E05008659,215500
E05008660,350000
E05008661,251000
E05012209,133000
E05012210,137500
E05012211,175000
E05012212,300000
E05012213,274995
E05012214,323748
E05012215,202000
E05012216,178000
E05012217,234500
E05012218,279000
E05012219,300000
E05012220,189000
E05012221,166250
E05012222,215000
E05012223,214000
E05012224,267498
E05012225,205000
E05012226,192475
E05012227,162995
E05012228,225000
E05012229,156000
E05012230,200000
E05012231,118000
E05012232,294998
E05012233,161000
E05012234,281500
E05012235,300000
E05012236,208000
E05012237,173000
E05012238,136000
E05012239,393995
E05012240,311500
E05012241,352000
E05012242,270500
E05012243,204350
E05012244,105000
E05012245,199973
E05012246,174500
E05012247,334950
E05012248,125000
E05012249,135000
E05012250,159498
E05012251,210000
E05012252,125000
E05012253,135000
E05011720,227500
E05011721,152500
E05011722,118000
E05011723,280000
E05011724,222500
E05011725,190000
E05011726,332000
E05011727,260000
E05011728,165750
E05011729,99500
E05011730,147475
E05011731,310000
E05011732,215000
E05011733,108000
E05011734,87500
E05011735,115000
E05011738,159998
E05011739,145000
E05011736,105000
E05011737,80000
E05011740,221250
E05011741,223650
E05011742,164250
E05003145,63000
E05003146,61175
E05003147,125000
E05003148,133500
E05003149,210000
E05003150,67500
E05003151,218250
E05003152,105000
E05003153,125000
E05003154,88975
E05003155,185000
E05003156,118000
E05003157,110000
E05012940,176000
E05012941,105000
E05012942,209600
E05012943,93000
E05012944,93000
E05012945,199975
E05012946,108500
E05012947,155000
E05012948,160000
E05012949,105000
E05012950,149000
E05012951,183500
E05012952,205000
E05012548,121000
E05012549,162500
E05012550,156500
E05012551,105000
E05012552,157975
E05012553,95500
E05012554,94000
E05012555,165000
E05012556,149000
E05012557,104750
E05012558,90000
E05012559,91000
E05012560,145000
E05012562,93000
E05012561,180000
E05012563,129975
E05012564,137975
E05003205,151500
E05003206,160000
E05003207,182000
E05003208,205000
E05003209,170500
E05003210,337500
E05003211,228750
E05003212,259000
E05003213,272000
E05003214,275000
E05003215,230000
E05003216,200000
E05003217,175000
E05003218,245000
E05003219,311000
E05003220,265000
E05003221,225000
E05003222,235000
E05003223,137500
E05003224,231498
E05003225,175000
E05003226,207500
E05003227,139000
E05003228,156500
E05003229,149950
E05003230,277000
E05003231,135000
E05003232,238500
E05003233,350175
E05003234,256500
E05011490,335000
E05011491,269500
E05011492,293500
E05011493,272000
E05011494,260000
E05011495,222000
E05011496,205000
E05011497,252500
E05011498,190000
E05011499,171250
E05011500,325500
E05011501,250000
E05011502,179750
E05011503,219000
E05011504,310000
E05011505,164500
E05011506,244000
E05011507,275000
E05005150,53498
E05005151,115000
E05005152,85000
E05005153,181500
E05005154,113000
E05005155,46463
E05005156,81000
E05005157,66950
E05005158,130000
E05005159,89950
E05005160,55000
E05005161,106800
E05005162,105000
E05005163,59995
E05005164,145000
E05005165,178750
E05005166,168000
E05005167,298750
E05005168,200000
E05005169,132000
E05005170,117000
E05005171,182500
E05005172,135000
E05005173,149973
E05005174,200000
E05005175,141250
E05005176,265000
E05005177,156000
E05005178,221500
E05005179,236495
E05005180,167500
E05005181,215500
E05005182,216500
E05005183,312500
E05005184,173000
E05005185,259975
E05005186,164500
E05005187,163000
E05005188,257475
E05005189,290000
E05005190,222500
E05005191,129500
E05005192,165000
E05005193,225000
E05005194,136000
E05005195,189045
E05005196,125000
E05005197,171250
E05005198,220000
E05005199,238375
E05005200,374995
E05005203,408000
E05005201,210000
E05005202,175000
E05005204,164000
E05005205,194998
E05005206,135000
E05005207,72750
E05005208,160000
E05005209,62500
E05005210,80000
E05005211,107500
E05005212,158000
E05005213,117000
E05005214,99000
E05005215,107975
E05005216,122500
E05005217,67000
E05005218,119995
E05005221,55000
E05005219,100000
E05005220,130000
E05009592,161000
E05009593,215000
E05009594,184975
E05009595,159950
E05009596,126000
E05009597,158000
E05009598,240000
E05009599,122000
E05009600,150000
E05009601,106500
E05009602,158250
E05009603,138250
E05009604,267500
E05009605,245000
E05009606,168995
E05009607,144000
E05009608,120000
E05009609,193000
E05009610,160000
E05009611,350000
E05009612,112750
E05009613,151500
E05009614,172250
E05009615,375000
E05009616,295000
E05009617,240000
E05009618,125000
E05005250,125000
E05005251,235500
E05005252,165500
E05005253,58250
E05005254,76250
E05005255,58250
E05005256,125500
E05005257,124950
E05008551,135000
E05008552,146000
E05005260,224950
E05005261,96000
E05005262,86000
E05005263,180000
E05005264,175000
E05005265,59995
E05005266,109750
E05005267,63000
E05005268,110000
E05005269,47500
E05012193,121750
E05012194,120625
E05012195,145000
E05012196,100250
E05012197,75000
E05012198,75000
E05012199,171313
E05012200,205000
E05012201,199995
E05012202,130000
E05012203,90000
E05012204,233000
E05012205,273250
E05012206,103000
E05012208,177000
E05012207,68500
E05012000,180000
E05012001,189500
E05012002,362500
E05012003,290000
E05012004,217000
E05012005,355000
E05012006,291000
E05012007,167495
E05012008,265000
E05012009,236500
E05012010,220000
E05012011,284546
E05012012,310000
E05012013,225498
E05012014,228750
E05012015,209995
E05012016,227750
E05012017,200000
E05012019,201498
E05012018,196250
E05012020,307500
E05012021,368750
E05012022,294871
E05012023,405975
E05012024,223500
E05012025,348995
E05005316,128000
E05005317,175000
E05005318,127000
E05005319,163500
E05005320,135000
E05005321,111875
E05005322,128750
E05005323,125000
E05005324,181250
E05005325,130000
E05005326,184995
E05005327,70000
E05005328,130000
E05005329,87250
E05010214,181995
E05010215,122000
E05010216,203000
E05010217,122250
E05010218,180750
E05010219,135500
E05010220,179500
E05010221,141750
E05010222,139000
E05010223,219500
E05010224,179750
E05010225,195000
E05010226,136000
E05010227,229000
E05010228,135000
E05010229,142750
E05010230,184500
E05010231,240000
E05010233,163725
E05010234,143000
E05010232,136750
E05010235,159000
E05010236,160000
E05005357,139995
E05005358,295000
E05005359,280000
E05005380,246000
E05005360,98995
E05005361,209998
E05005362,199995
E05005363,184950
E05005364,79500
E05005365,242500
E05005366,185000
E05005367,198975
E05005368,86000
E05005381,292500
E05005369,177975
E05005370,300000
E05005371,260000
E05005372,230000
E05005373,209998
E05005374,99250
E05005375,90000
E05005376,133498
E05005377,217975
E05005378,183000
E05005379,209000
E05009932,128000
E05009933,202000
E05009934,239995
E05009935,272000
E05009936,165000
E05009937,130000
E05009938,225861
E05009939,273473
E05009940,190000
E05009941,180000
E05009942,127975
E05009943,137250
E05009944,95500
E05009945,117500
E05009946,81250
E05009947,162250
E05009948,192780
E05009949,135000
E05009950,140000
E05009951,167000
E05009952,177500
E05009953,170000
E05009954,127500
E05009955,278500
E05000650,150000
E05000651,190000
E05000652,115000
E05000653,185000
E05000654,97500
E05000655,106998
E05000656,80000
E05000657,70000
E05000658,127500
E05000659,248000
E05000660,152000
E05000661,178500
E05000662,134975
E05000663,130000
E05000664,147475
E05000665,77750
E05000666,132250
E05000667,108000
E05000668,166500
E05000669,156500
E05000670,175000
E05000671,182000
E05000672,101000
E05000673,155000
E05000674,200625
E05000675,135000
E05000676,250000
E05000677,246500
E05000678,145000
E05000679,160000
E05000680,124000
E05000681,175000
E05000682,137000
E05000684,235000
E05000683,208000
E05000685,175000
E05000686,182000
E05011350,229000
E05011351,200000
E05011352,153000
E05011353,178000
E05011354,217500
E05011355,137000
E05011356,140000
E05011357,318000
E05011358,273750
E05011359,127750
E05011360,130000
E05011361,224000
E05011362,301000
E05011363,325500
E05011364,182500
E05011365,114500
E05011366,110000
E05011367,118750
E05011368,172500
E05011369,160000
E05011370,159950
E05011371,150550
E05011372,145000
E05011373,127500
E05011374,187250
E05011375,215000
E05011376,200000
E05011377,177500
E05011378,160000
E05011379,176375
E05011380,203250
E05011381,160000
E05000719,85000
E05000720,158700
E05000721,155000
E05000722,120000
E05000723,86750
E05000724,146500
E05000725,137000
E05000726,170000
E05000727,111000
E05000728,99973
E05000729,154500
E05000730,152750
E05000731,223000
E05000732,237998
E05000733,156000
E05000736,129000
E05000734,129500
E05000735,81000
E05000737,83950
E05000738,104500
E05000739,124995
E05000740,227750
E05000741,119000
E05000742,76000
E05000743,135000
E05000744,150000
E05000745,174950
E05000746,105000
E05000747,149000
E05000748,80000
E05000749,135000
E05000750,196000
E05000751,120000
E05000752,115000
E05000753,105250
E05000754,206000
E05000755,134500
E05000756,153000
E05000757,119500
E05000758,154000
E05000759,140000
E05000760,261500
E05000761,185000
E05000762,155000
E05000763,189500
E05000764,221995
E05000765,160000
E05000766,160000
E05000767,150000
E05000768,146250
E05000769,115000
E05000770,175500
E05000771,140250
E05000772,145000
E05000773,168000
E05000774,134998
E05000775,185000
E05000776,168000
E05000777,159000
E05000778,287500
E05000779,326500
E05000780,439950
E05000781,184000
E05000782,210000
E05000783,169995
E05000784,325000
E05000785,240500
E05000786,296000
E05000787,187248
E05000788,177000
E05000789,230000
E05000790,252500
E05000791,310000
E05000792,275000
E05000793,172500
E05000794,298000
E05000795,256000
E05000796,220000
E05000797,148500
E05000798,175000
E05000799,230000
E05000800,161250
E05000801,124000
E05000802,140000
E05000803,167500
E05000804,140000
E05000805,147000
E05000806,175000
E05000807,143000
E05000808,140000
E05000809,132500
E05000810,146250
E05000811,155998
E05000812,178000
E05000813,175000
E05000814,145000
E05000815,142475
E05000816,110000
E05000817,148750
E05000818,170000
E05000819,325000
E05000820,299500
E05000821,575000
E05000822,277000
E05000823,337000
E05000824,168500
E05000825,265000
E05000826,259975
E05000827,249950
E05000828,263000
E05000829,200000
E05000830,590000
E05000831,482500
E05000832,120250
E05000833,250000
E05000835,251250
E05000834,280000
E05000836,232500
E05000837,335000
E05000838,270000
E05000839,315000
E05000840,127995
E05000841,140000
E05000842,158500
E05000843,225000
E05000844,145000
E05000845,130000
E05000846,136000
E05000847,98998
E05000848,145000
E05000849,113500
E05000850,158498
E05000851,90000
E05000852,149995
E05000853,125000
E05000854,100000
E05000855,195000
E05000856,165000
E05000857,105000
E05000858,172500
E05000859,229950
E05000860,145000
E05000861,151500
E05000862,111000
E05000863,155000
E05000864,125000
E05010935,118500
E05010936,160000
E05010937,149950
E05010938,115000
E05010939,124000
E05010940,184995
E05010941,179995
E05010942,225000
E05010943,126250
E05010944,114500
E05010945,152000
E05010946,120000
E05010947,170000
E05010948,124000
E05010949,141375
E05000886,192500
E05000887,73000
E05000888,140000
E05000889,90000
E05000890,222000
E05000891,231750
E05000892,102750
E05000893,65000
E05000894,223475
E05000895,125000
E05000896,65000
E05000897,100000
E05000898,185000
E05000899,85750
E05000900,126000
E05000901,148000
E05000902,236000
E05000903,96500
E05000904,95000
E05000905,97000
E05000906,125000
E05000907,102450
E05000909,122500
E05000908,181250
E05000910,81500
E05000911,113974
E05000912,172500
E05000913,160000
E05000914,254500
E05000915,122000
E05000916,148000
E05000917,115000
E05000918,139500
E05000919,149995
E05000920,212000
E05000921,115000
E05000922,130000
E05000923,167000
E05000924,77500
E05000925,210000
E05000926,155000
E05000927,126975
E05000928,146498
E05000929,75000
E05000930,99000
E05000931,137000
E05000932,215000
E05000933,211000
E05000934,278000
E05000935,154500
E05000936,155975
E05000937,85000
E05000938,175000
E05000939,113250
E05000940,345000
E05000941,165000
E05000942,64000
E05000943,127998
E05000944,220000
E05000945,174975
E05000946,178000
E05000947,134000
E05000948,150000
E05000949,206250
E05000950,219975
E05000951,88000
E05000952,190000
E05000953,205700
E05000954,185000
E05000955,98000
E05000956,75000
E05000957,157000
E05000958,230000
E05000959,146000
E05000960,169950
E05000961,222500
E05000962,338000
E05000963,259500
E05000964,145000
E05000965,125000
E05000966,160000
E05000967,150000
E05000968,159998
E05000969,202725
E05000970,156000
E05000971,108250
E05000972,80000
E05000973,150000
E05000974,184000
E05000975,269000
E05011525,118000
E05011526,115000
E05011527,122000
E05011528,143475
E05011529,82000
E05011530,112000
E05011531,108000
E05011532,129950
E05011533,122500
E05011534,153500
E05011535,92000
E05011536,78000
E05011537,110000
E05011538,163995
E05011539,84000
E05011540,117750
E05011542,100000
E05011541,101500
E05011543,131748
E05011544,105640
E05011545,105000
E05001687,215500
E05001688,134000
E05001689,163500
E05001690,126000
E05001691,180000
E05001692,180000
E05001693,210000
E05001694,168000
E05001695,185000
E05001696,140500
E05001697,103000
E05001698,179950
E05001699,259998
E05001700,173250
E05001701,172500
E05001702,199000
E05001703,153000
E05001704,254000
E05001706,200000
E05001707,129500
E05001708,265000
E05001709,146501
E05001705,220000
E05001710,173000
E05001711,244000
E05001712,226500
E05001713,126000
E05001714,53000
E05001715,143500
E05001716,195000
E05001717,109950
E05001718,194000
E05001719,120000
E05001720,133000
E05001721,161500
E05001722,84500
E05001723,94500
E05001724,181500
E05001725,62750
E05001726,204750
E05001727,107000
E05001728,126000
E05001729,206000
E05001730,130475
E05001731,222475
E05001732,166425
E05001733,150000
E05001734,157750
E05001735,140000
E05001736,104998
E05001737,109950
E05001738,152000
E05001739,106000
E05001740,165000
E05001741,99000
E05001742,125000
E05001743,202500
E05001744,118600
E05010311,232500
E05010312,308000
E05010313,226000
